source,date,mean
GISTEMP,1985-02-06,-0.06
GCAG,1985-01-06,0.1783
GISTEMP,1985-01-06,0.21
GCAG,1984-12-06,-0.0926
GISTEMP,1984-12-06,-0.06
GCAG,1984-11-06,0.0365
GISTEMP,1984-11-06,0.04
GCAG,1984-10-06,0.1187
GISTEMP,1984-10-06,0.15
GCAG,1984-09-06,0.1431
GISTEMP,1984-09-06,0.2
GCAG,1984-08-06,0.1687
GISTEMP,1984-08-06,0.15
GCAG,1984-07-06,0.1193
GISTEMP,1984-07-06,0.16
GCAG,1984-06-06,0.1306
GISTEMP,1984-06-06,0.04
GCAG,1984-05-06,0.2834
GISTEMP,1984-05-06,0.33
GCAG,1984-04-06,0.1503
GISTEMP,1984-04-06,0.08
GCAG,1984-03-06,0.272
GISTEMP,1984-03-06,0.29
GCAG,1984-02-06,0.1753
GISTEMP,1984-02-06,0.17
GCAG,1984-01-06,0.2831
GISTEMP,1984-01-06,0.3
GCAG,1983-12-06,0.2748
GISTEMP,1983-12-06,0.17
GCAG,1983-11-06,0.4313
GISTEMP,1983-11-06,0.3
GCAG,1983-10-06,0.2113
GISTEMP,1983-10-06,0.15
